movie,sentence,score
플립,미국판 봄봄 재밌게 봤어요~,8
캡틴 마블,너무 재미있다어ㅓㅇ나,10
캡틴 마블,너무 재미있다어ㅓㅇ나,10
신비한 동물들과 덤블도어의 비밀,조금 더 판타지라는 장르적인 재미에 치중했다면 좋았을 듯 하다.,6
발신제한,"개연성 너무 떨어지고, 범인이 듣고만 있는건지 보고도 있는건지 헷갈리고 결국엔 불쌍한 사람만 다 죽었네? 도대체 자기애들 뒤에 태운사람이 용의자란 생각은 어떻게 하는거임? ㅋㅋㅋ",6
인민을 위해 복무하라,여배우 연기수업 좀 빡세게 받아라.목소리 톤도 별로고 돈 주고 안 보길 잘 했네.감상포인트가 없는데 왜 선택하란거야 짜증나게.그리고 감독 진짜 스토리 개 박살난다. 아우,1
야차,킬링타임용으로 좋습니다.,10
더 배트맨,배트맨의 새로운 시작으로 기대 이상으로 만족스럽다.,8
앰뷸런스,아이맥스에서 봐서 그런지 몰입도가 너무 좋았다,7
신비한 동물들과 덤블도어의 비밀,"???: 예나, 선정이 딸이에요",2
니 부모 얼굴이 보고 싶다,손바닥으로 하늘을 가려봐야 소용없다!,8
니 부모 얼굴이 보고 싶다,너무 뻔한 스토리에 시나리오 및 연기자들 대사는 최악,2
야차,진짜 최악이다 어이없는게 한두개가 아니야...,1
더 컨트랙터,"기대 안하고 봤는데, 액션이 Not Bad.",6
야차,한국영화 요즘 정말 왜이러냐 진짜,1
문폴,짱깨말나올때부터 영화의 집중도가 확떨어짐,1
중경삼림,왕가위만의 독특한 연출 구도와 미장센이 나를 그 시절 홍콩으로 이끌었다.,10
블루 라군,열린결말. 난 해피앤딩으로 볼래~~,10
신비한 동물들과 덤블도어의 비밀,"해리포터가 생각나는 장면들과 OST, 영상미, 분량은 적지만 귀여운 신비한 동물들, 배우들의 연기는 좋았지만스토리상으로 아쉬움이 남는 건 사실이다",8
화차,이선균이 전남편 한번보고싶다할때 표정이 슬펐어요.갠적으로 그게명장면..이선균은 스릴러보다 멜로에 집중했다네요. 김민희는 러블리한데도 진심 역할 잘맡은듯♥,10
니 부모 얼굴이 보고 싶다,역대 최고다,10
서울괴담,아린이 보려고 봤는데...,4
컨테이젼,"예나지금이나 사기 정보 ,가짜뉴스로 돈 벌려는 비양심 쓰레기들이 참 많다..지금은 유튜브로 그러지..",8
라스트 나잇 인 소호,토마신 너무 깜찍하다.,8
